Laboratory,Test,adult,assay,collection,container,external,note,row,specimen,testCode,testId,transport
Clinical Biochemistry,Albumin,,,,AlbuminLaboratory:Clinical BiochemistryTest Code:LFTSpecimen Types:Blood,,"Reference Interval (19 y.o+): 

33—46 g/L

Age Related Reference Intervals:

Male and Female

< 2 weeks                28 - 41 g/L

2 wks  - < 1 yr         25 - 46 g/L

1 yr - < 8 yrs            35 - 45 g/L

8 yrs - < 15 yrs        37 - 47 g/L

Female  

15 yrs - < 19 yrs      35 - 49 g/L

Male

15 yrs - < 19 yrs      38 - 50 g/L","AlbuminLaboratory:Clinical BiochemistryTest Code:LFTSpecimen Types:BloodContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureAdditional Notes:Reference Interval (19 y.o+): 

33—46 g/L

Age Related Reference Intervals:

Male and Female

< 2 weeks                28 - 41 g/L

2 wks  - < 1 yr         25 - 46 g/L

1 yr - < 8 yrs            35 - 45 g/L

8 yrs - < 15 yrs        37 - 47 g/L

Female  

15 yrs - < 19 yrs      35 - 49 g/L

Male

15 yrs - < 19 yrs      38 - 50 g/L",Blood,LFT,1,AlbuminLaboratory:Clinical BiochemistryTest Code:LFTSpecimen Types:BloodContainer Types:SST
Clinical Biochemistry,SerotoninAlternative Names:5-Hydroxytrptamine5-HT,SerotoninAlternative Names:5-Hydroxytrptamine5-HTLaboratory:Clinical BiochemistryTest Code:SERSpecimen Types:SerumContainer Types:Plain tube - serum  (no Gel),,,Plain tube - serum  (no Gel),SerotoninAlternative Names:5-Hydroxytrptamine5-HTLaboratory:Clinical BiochemistryTest Code:SERSpecimen Types:SerumContainer Types:Plain tube - serum  (no Gel)Adults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Send to lab immediately,,SerotoninAlternative Names:5-Hydroxytrptamine5-HTLaboratory:Clinical BiochemistryTest Code:SERSpecimen Types:SerumContainer Types:Plain tube - serum  (no Gel)Adults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Send to lab immediatelyExternal Laboratory:SydPATH Blood & Bone Marrow Translplant Service,Serum,SER,2,SerotoninAlternative Names:5-Hydroxytrptamine5-HTLaboratory:Clinical BiochemistryTest Code:SERSpecimen Types:SerumContainer Types:Plain tube - serum  (no Gel)Adults Volume or Mass:10 mL
Microbiology,Rickettsial Culture,4 mL,Weekly,A separate container is required for this test.Note: Can share tube with Rickettsial PCR.,EDTA 10 mLPlain 70mL pot,Australian Rickettsial Reference Laboratory,Culture reported after 60 days.,Rickettsial CultureLaboratory:MicrobiologyTest Code:RICK CSpecimen Types:BloodTissueFluidContainer Types:EDTA 10 mLPlain 70mL potAdults Volume or Mass:4 mLCollection & Request Instructions:A separate container is required for this test.Note: Can share tube with Rickettsial PCR.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:Australian Rickettsial Reference LaboratoryAdditional Notes:Culture reported after 60 days.,BloodTissueFluid,RICK C,3,Room Temperature
Microbiology,Adenovirus DNA by PCR,,"Adenovirus DNA by PCRLaboratory:MicrobiologyTest Code:Herpes Adenovirus Enterovirus PCR, HERPPCRSpecimen Types:SwabPlasmaNasopharyngeal AspirateCerebrospinal FluidTissueFaecesContainer Types:Viral Transport Medium SwabEDTA 10 mLCSF Tube 3Plain 70mL potCollection & Request Instructions:Faeces samples - Department head approval required unless patient is immunosuppressed and has loose stool.Transport Instructions between Sites and/or Laboratories:Room Temperature",Faeces samples - Department head approval required unless patient is immunosuppressed and has loose stool.,"Adenovirus DNA by PCRLaboratory:MicrobiologyTest Code:Herpes Adenovirus Enterovirus PCR, HERPPCRSpecimen Types:SwabPlasmaNasopharyngeal AspirateCerebrospinal FluidTissueFaeces",,"This PCR detects HSV-1, HSV-2, CMV, VZV, Enterovirus and Adenovirus.","Adenovirus DNA by PCRLaboratory:MicrobiologyTest Code:Herpes Adenovirus Enterovirus PCR, HERPPCRSpecimen Types:SwabPlasmaNasopharyngeal AspirateCerebrospinal FluidTissueFaecesContainer Types:Viral Transport Medium SwabEDTA 10 mLCSF Tube 3Plain 70mL potCollection & Request Instructions:Faeces samples - Department head approval required unless patient is immunosuppressed and has loose stool.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeekdaysAdditional Notes:This PCR detects HSV-1, HSV-2, CMV, VZV, Enterovirus and Adenovirus.",SwabPlasmaNasopharyngeal AspirateCerebrospinal FluidTissueFaeces,"Herpes Adenovirus Enterovirus PCR, HERPPCR",4,Transport Medium SwabEDTA 10 mLCSF Tube 3Plain 70mL potCollection & Request Instructions:Faeces samples - Department head approval required unless patient is immunosuppressed and has loose stool.Room Temperature
Microbiology,Adenovirus Serology,Adenovirus SerologyLaboratory:MicrobiologyTest Code:Adenovirus SerologySpecimen Types:SerumContainer Types:SST,Weekly,,SST,Adenovirus SerologyLaboratory:MicrobiologyTest Code:Adenovirus SerologySpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly,,Adenovirus SerologyLaboratory:MicrobiologyTest Code:Adenovirus SerologySpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.,Serum,Adenovirus Serology,5,Room Temperature
Microbiology,Barmah Forest Virus Serology,Barmah Forest Virus SerologyLaboratory:MicrobiologyTest Code:BFVSpecimen Types:SerumContainer Types:SST,Weekly,,SST,Barmah Forest Virus SerologyLaboratory:MicrobiologyTest Code:BFVSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly,,Barmah Forest Virus SerologyLaboratory:MicrobiologyTest Code:BFVSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.,Serum,BFV,6,Room Temperature
Microbiology,Chlamydia psittaci SerologyAlternative Names:Psittacosis SerologyChlamydia Serology (Respiratory),Chlamydia psittaci SerologyAlternative Names:Psittacosis SerologyChlamydia Serology (Respiratory)Laboratory:MicrobiologyTest Code:PSITSpecimen Types:SerumContainer Types:SST,,,SST,V.I.D.R.L.,"Acute samples will be stored. 
Testing will only be performed on paired acute and convalescent samples collected at least 2 weeks apart.","Chlamydia psittaci SerologyAlternative Names:Psittacosis SerologyChlamydia Serology (Respiratory)Laboratory:MicrobiologyTest Code:PSITSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:V.I.D.R.L.Additional Notes:Acute samples will be stored. 
Testing will only be performed on paired acute and convalescent samples collected at least 2 weeks apart.",Serum,PSIT,7,Chlamydia psittaci SerologyAlternative Names:Psittacosis SerologyChlamydia Serology (Respiratory)Laboratory:MicrobiologyTest Code:PSITSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:10 mL
Microbiology,Chlamydia trachomatis Serology,Chlamydia trachomatis SerologyLaboratory:MicrobiologyTest Code:CHLSpecimen Types:SerumContainer Types:SSTPlain tube - serum  (no Gel),Weekly,,SSTPlain tube - serum  (no Gel),V.I.D.R.L.,"Detects IgG and IgA to C.trachomatis.  
Specimens for C.trachomatis PCR testing are the preferred method of diagnosis.","Chlamydia trachomatis SerologyLaboratory:MicrobiologyTest Code:CHLSpecimen Types:SerumContainer Types:SSTPlain tube - serum  (no Gel)Adults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.Additional Notes:Detects IgG and IgA to C.trachomatis.  
Specimens for C.trachomatis PCR testing are the preferred method of diagnosis.",Serum,CHL,8,Room Temperature
Microbiology,Hepatitis Delta Serology,Hepatitis Delta SerologyLaboratory:MicrobiologyTest Code:DELTASpecimen Types:SerumContainer Types:SST,,,SST,Hepatitis Delta SerologyLaboratory:MicrobiologyTest Code:DELTASpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mLTransport Instructions between Sites and/or Laboratories:Room Temperature,,Hepatitis Delta SerologyLaboratory:MicrobiologyTest Code:DELTASpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:V.I.D.R.L.,Serum,DELTA,9,Hepatitis Delta SerologyLaboratory:MicrobiologyTest Code:DELTASpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mL
Microbiology,Flavivirus SerologyAlternative Names:Group B Arbovirus SerologyYellow FeverFlavivirus Group Ab Screen,10 mL,Fortnightly,Please specify agents required along with relevant travel/exposure history.,SST,"Flavivirus SerologyAlternative Names:Group B Arbovirus SerologyYellow FeverFlavivirus Group Ab ScreenLaboratory:MicrobiologyTest Code:GBA, Flavivirus Group Ab ScreenSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:10 mLCollection & Request Instructions:Please specify agents required along with relevant travel/exposure history.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Fortnightly",,"Flavivirus SerologyAlternative Names:Group B Arbovirus SerologyYellow FeverFlavivirus Group Ab ScreenLaboratory:MicrobiologyTest Code:GBA, Flavivirus Group Ab ScreenSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:10 mLCollection & Request Instructions:Please specify agents required along with relevant travel/exposure history.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:FortnightlyExternal Laboratory:NSW Health Pathology, Westmead  (ICPMR)",Serum,"GBA, Flavivirus Group Ab Screen",10,Room Temperature
Microbiology,Enterovirus DNA by PCRAlternative Names:Coxsackie virus PCREchovirus PCR,,Daily,,Enterovirus DNA by PCRAlternative Names:Coxsackie virus PCREchovirus PCRLaboratory:MicrobiologyTest Code:ENTPCRSpecimen Types:Cerebrospinal FluidTissueFaecesSwab,Enterovirus DNA by PCRAlternative Names:Coxsackie virus PCREchovirus PCRLaboratory:MicrobiologyTest Code:ENTPCRSpecimen Types:Cerebrospinal FluidTissueFaecesSwabContainer Types:CSF Tube 1Plain 70mL potViral Transport Medium SwabTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Daily,,Enterovirus DNA by PCRAlternative Names:Coxsackie virus PCREchovirus PCRLaboratory:MicrobiologyTest Code:ENTPCRSpecimen Types:Cerebrospinal FluidTissueFaecesSwabContainer Types:CSF Tube 1Plain 70mL potViral Transport Medium SwabTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:DailyExternal Laboratory:V.I.D.R.L.,Cerebrospinal FluidTissueFaecesSwab,ENTPCR,11,Transport Medium SwabRoom Temperature
Microbiology,Epstein-Barr Virus DNA by PCRAlternative Names:EBV PCR,0.1 mL,Daily,"If EBV PCR requested on blood, order as EBVLOAD.  ",CSF Tube 1Fresh Tissue PotPlain 70mL pot,"Epstein-Barr Virus DNA by PCRAlternative Names:EBV PCRLaboratory:MicrobiologyTest Code:EBVPCRSpecimen Types:Cerebrospinal FluidTissueBronchoalveolar LavageBronchial WashingsContainer Types:CSF Tube 1Fresh Tissue PotPlain 70mL potAdults Volume or Mass:0.1 mLCollection & Request Instructions:If EBV PCR requested on blood, order as EBVLOAD.  Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Daily",,"Epstein-Barr Virus DNA by PCRAlternative Names:EBV PCRLaboratory:MicrobiologyTest Code:EBVPCRSpecimen Types:Cerebrospinal FluidTissueBronchoalveolar LavageBronchial WashingsContainer Types:CSF Tube 1Fresh Tissue PotPlain 70mL potAdults Volume or Mass:0.1 mLCollection & Request Instructions:If EBV PCR requested on blood, order as EBVLOAD.  Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:DailyExternal Laboratory:V.I.D.R.L.",Cerebrospinal FluidTissueBronchoalveolar LavageBronchial Washings,EBVPCR,12,Room Temperature
Microbiology,Rickettsial Serology,Rickettsial SerologyLaboratory:MicrobiologyTest Code:RICKSpecimen Types:SerumContainer Types:SST,External sites,,SST,Rickettsial SerologyLaboratory:MicrobiologyTest Code:RICKSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:0.5 mLTransport Instructions between Sites and/or Laboratories:RoomTemp within Alfred/Esky from,,Rickettsial SerologyLaboratory:MicrobiologyTest Code:RICKSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:0.5 mLTransport Instructions between Sites and/or Laboratories:RoomTemp within Alfred/Esky from External sitesAssay Frequency:3 x weekly (thrice)External Laboratory:Australian Rickettsial Reference Laboratory,Serum,RICK,13,RoomTemp within Alfred/Esky from External sites
Microbiology,Rickettsial DNA by PCR,4 mL,Weekly,A separate container is required for this test.Note: Can share tube with Rickettsial culture or Q Fever PCR,EDTA 10 mLPlain 70mL pot,Rickettsial DNA by PCRLaboratory:MicrobiologyTest Code:RICKPCRSpecimen Types:BloodTissueFluidSwabContainer Types:EDTA 10 mLPlain 70mL potAdults Volume or Mass:4 mLCollection & Request Instructions:A separate container is required for this test.Note: Can share tube with Rickettsial culture or Q Fever PCRTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly,,Rickettsial DNA by PCRLaboratory:MicrobiologyTest Code:RICKPCRSpecimen Types:BloodTissueFluidSwabContainer Types:EDTA 10 mLPlain 70mL potAdults Volume or Mass:4 mLCollection & Request Instructions:A separate container is required for this test.Note: Can share tube with Rickettsial culture or Q Fever PCRTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:Australian Rickettsial Reference Laboratory,BloodTissueFluidSwab,RICKPCR,14,Room Temperature
Microbiology,Helicobacter pylori IgGAlternative Names:Helicobacter pylori Serology,Helicobacter pylori IgGAlternative Names:Helicobacter pylori SerologyLaboratory:MicrobiologyTest Code:HEPYIGGSpecimen Types:SerumContainer Types:SST,,,SST,Helicobacter pylori IgGAlternative Names:Helicobacter pylori SerologyLaboratory:MicrobiologyTest Code:HEPYIGGSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mLTransport Instructions between Sites and/or Laboratories:Room Temperature,,Helicobacter pylori IgGAlternative Names:Helicobacter pylori SerologyLaboratory:MicrobiologyTest Code:HEPYIGGSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:V.I.D.R.L.,Serum,HEPYIGG,15,Helicobacter pylori IgGAlternative Names:Helicobacter pylori SerologyLaboratory:MicrobiologyTest Code:HEPYIGGSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:2 mL
Microbiology,Hydatid SerologyAlternative Names:Echinococcus granulosus Serology,Hydatid SerologyAlternative Names:Echinococcus granulosus SerologyLaboratory:MicrobiologyTest Code:HYDASpecimen Types:SerumContainer Types:SST,Weekly,,SST,Hydatid SerologyAlternative Names:Echinococcus granulosus SerologyLaboratory:MicrobiologyTest Code:HYDASpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly,,Hydatid SerologyAlternative Names:Echinococcus granulosus SerologyLaboratory:MicrobiologyTest Code:HYDASpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:V.I.D.R.L.,Serum,HYDA,16,Room Temperature
